SHAPE_ID,VALUE,landgebruik,bodem,maaiveldhoogte,maaiveldhoogte_median,maaiveldhoogte_p95_minus_p05,maaiveldhoogte_iqr,water_percentage,stedelijk_percentage,infiltratie,permabiliteit,oppervlak,water_opp,stedelijk_opp,klei1_zand0,klei,veen,zand,stuw,kwelmean
AFVG1,0.064,Weidehooi,Klei op veen,-0.51,-0.84,2.9,1.12,7.8,10.3,104.36,0.87,64203991,5007911,6613011,true,true,false,false,false,0.128947287414318
AFVG5,0.063,Weidehooi,Kleidek op veen,-1.64,-1.71,1.36,0.24,12.8,5.5,156.73,0.94,31664890,4053105,1741568,true,true,false,false,false,0.059957100084479
AFVG6,0.067,Weidehooi,Klei met zware tussenlaag of ondergrond,0.76,0.46,3.32,1.2,7.5,17.3,82.43,0.69,20856475,1564235,3608170,true,true,false,false,false,0.0193420357048275
AFVG8,0.068,Bedrijventerrein,Klei met zware tussenlaag of ondergrond,1.77,1.55,3.8,0.37,3.1,63.5,36.7,0.31,3401560,105448,2159990,true,true,false,false,false,-0.412741984131382
AFVG13,0.084,Weidehooi,Veraarde bovengrond op diep veen,-2.16,-2.16,0.94,0.41,12.5,4.8,413.45,0.94,19563236,2445404,939035,true,false,true,false,false,-0.324333475204021
AFVG15,0.032,Woongebied,Licht klei met homogeen profiel,0.08,0.02,1.37,0.56,10.6,26.9,74.65,0.62,2009559,213013,540571,true,true,false,false,false,-0.753558800652109
AFVG16,0.036,Weidehooi,Veraarde bovengrond op diep veen,-1.71,-1.94,1.85,0.6,13.5,5.9,270.61,0.92,9475066,1279133,559028,true,false,true,false,false,-0.0218629589214109
AFVG18,0.048,Weidehooi,Klei met zware tussenlaag of ondergrond,-0.76,-0.87,2.1,1.08,6.1,4.5,110.87,0.92,4881702,297783,219676,true,true,false,false,false,-0.245467058147946
AFVG22,0.04,Overige wegdelen,Klei met zware tussenlaag of ondergrond,-0.15,-0.22,2.45,0.92,4.3,30,39.69,0.33,1212670,52144,363801,true,true,false,false,false,-0.419291747467858
AFVG23,0.026,Groenvoorziening,Klei op veen,-0.75,-0.79,2.21,0.79,6.6,32.5,67.61,0.45,2952318,194852,959503,true,true,false,false,false,-0.338569083155041
AFVG24,0.015,Weidehooi,Klei op grof zand,0.31,0.29,1.16,0.34,5.8,7,82.39,0.69,3542673,205475,247987,false,true,false,false,false,-0.676012481181798
AFVG26,0.043,Weidehooi,Kleidek op veen,-1.18,-1.41,2.03,0.42,13.7,7.4,105.92,0.88,12694794,1739186,939414,true,true,false,false,false,-0.262744476180978
