"datetime","imputatie_methode","schatting_ondergrens","schatting_bovengrens","NN_divergeert","debiet","gat_nr","train_fw_ind","train_bw_ind"
2014-01-01 00:00:00,0,NA,NA,NA,0.2172,0,1,0
2014-01-01 01:00:00,0,NA,NA,NA,0.2172,0,1,0
2014-01-01 02:00:00,0,NA,NA,NA,0.2172,0,1,0
2014-01-01 03:00:00,0,NA,NA,NA,0.2207,0,1,0
2014-01-01 04:00:00,0,NA,NA,NA,0.2674,0,1,0
2014-01-01 05:00:00,0,NA,NA,NA,0.3457,0,1,0
2014-01-01 06:00:00,0,NA,NA,NA,0.3995,0,1,0
2014-01-01 07:00:00,0,NA,NA,NA,0.3912,0,1,0
2014-01-01 08:00:00,0,NA,NA,NA,0.3729,0,1,0
2014-01-01 09:00:00,0,NA,NA,NA,0.3512,0,1,0
2014-01-01 10:00:00,0,NA,NA,NA,0.3183,0,1,0
2014-01-01 11:00:00,0,NA,NA,NA,0.2168,0,1,0
2014-01-01 12:00:00,0,NA,NA,NA,0.1923,0,1,0
2014-01-01 13:00:00,0,NA,NA,NA,0.1923,0,1,0
2014-01-01 14:00:00,0,NA,NA,NA,0.1923,0,1,0
2014-01-01 15:00:00,0,NA,NA,NA,0.1923,0,1,0
2014-01-01 16:00:00,0,NA,NA,NA,0.1923,0,1,0
2014-01-01 17:00:00,0,NA,NA,NA,0.2013,0,1,0
2014-01-01 18:00:00,0,NA,NA,NA,0.247,0,1,0
2014-01-01 19:00:00,0,NA,NA,NA,0.3726,0,1,0
2014-01-01 20:00:00,0,NA,NA,NA,0.4011,0,1,0
2014-01-01 21:00:00,0,NA,NA,NA,0.3814,0,1,0
2014-01-01 22:00:00,0,NA,NA,NA,0.3679,0,1,0
2014-01-01 23:00:00,0,NA,NA,NA,0.3375,0,1,0
2014-01-02 00:00:00,0,NA,NA,NA,0.3241,0,1,0
2014-01-02 01:00:00,0,NA,NA,NA,0.3096,0,1,0
2014-01-02 02:00:00,0,NA,NA,NA,0.2569,0,1,0
2014-01-02 03:00:00,0,NA,NA,NA,0.2055,0,1,0
2014-01-02 04:00:00,0,NA,NA,NA,0.1752,0,1,0
2014-01-02 05:00:00,0,NA,NA,NA,0.1752,0,1,0
2014-01-02 06:00:00,0,NA,NA,NA,0.2013,0,1,0
2014-01-02 07:00:00,0,NA,NA,NA,0.2404,0,1,0
2014-01-02 08:00:00,0,NA,NA,NA,0.2468,0,1,0
2014-01-02 09:00:00,0,NA,NA,NA,0.2468,0,1,0
2014-01-02 10:00:00,0,NA,NA,NA,0.2229,0,1,0
2014-01-02 11:00:00,0,NA,NA,NA,0.2219,0,1,0
2014-01-02 12:00:00,0,NA,NA,NA,0.2273,0,1,0
2014-01-02 13:00:00,0,NA,NA,NA,0.21,0,1,0
2014-01-02 14:00:00,0,NA,NA,NA,0.21,0,1,0
2014-01-02 15:00:00,0,NA,NA,NA,0.21,0,1,0
2014-01-02 16:00:00,0,NA,NA,NA,0.21,0,1,0
2014-01-02 17:00:00,0,NA,NA,NA,0.21,0,1,0
2014-01-02 18:00:00,0,NA,NA,NA,0.21,0,1,0
2014-01-02 19:00:00,0,NA,NA,NA,0.21,0,1,0
2014-01-02 20:00:00,0,NA,NA,NA,0.21,0,1,0
2014-01-02 21:00:00,0,NA,NA,NA,0.2581,0,1,0
2014-01-02 22:00:00,0,NA,NA,NA,0.4565,0,1,0
2014-01-02 23:00:00,0,NA,NA,NA,0.4626,0,1,0
2014-01-03 00:00:00,0,NA,NA,NA,0.4265,0,1,0
2014-01-03 01:00:00,0,NA,NA,NA,0.4048,0,1,0
2014-01-03 02:00:00,0,NA,NA,NA,0.2366,0,1,0
2014-01-03 03:00:00,0,NA,NA,NA,0.2137,0,1,0
2014-01-03 04:00:00,0,NA,NA,NA,0.1923,0,1,0
2014-01-03 05:00:00,0,NA,NA,NA,0.1923,0,1,0
2014-01-03 06:00:00,0,NA,NA,NA,0.1982,0,1,0
2014-01-03 07:00:00,0,NA,NA,NA,0.2281,0,1,0
2014-01-03 08:00:00,0,NA,NA,NA,0.2281,0,1,0
2014-01-03 09:00:00,0,NA,NA,NA,0.2281,0,1,0
2014-01-03 10:00:00,0,NA,NA,NA,0.2067,0,1,0
2014-01-03 11:00:00,0,NA,NA,NA,0.2244,0,1,0
2014-01-03 12:00:00,0,NA,NA,NA,0.2244,0,1,0
2014-01-03 13:00:00,0,NA,NA,NA,0.2244,0,1,0
2014-01-03 14:00:00,0,NA,NA,NA,0.2244,0,1,0
2014-01-03 15:00:00,0,NA,NA,NA,0.2244,0,1,0
2014-01-03 16:00:00,0,NA,NA,NA,0.2526,0,1,0
2014-01-03 17:00:00,0,NA,NA,NA,0.8322,0,1,0
2014-01-03 18:00:00,0,NA,NA,NA,1.1008,0,1,0
2014-01-03 19:00:00,0,NA,NA,NA,0.8683,0,1,0
2014-01-03 20:00:00,0,NA,NA,NA,0.6384,0,1,0
2014-01-03 21:00:00,0,NA,NA,NA,0.6648,0,1,0
2014-01-03 22:00:00,0,NA,NA,NA,0.6713,0,1,0
2014-01-03 23:00:00,0,NA,NA,NA,0.6467,0,1,0
2014-01-04 00:00:00,0,NA,NA,NA,0.599,0,1,0
2014-01-04 01:00:00,0,NA,NA,NA,0.5911,0,1,0
2014-01-04 02:00:00,0,NA,NA,NA,0.574,0,1,0
2014-01-04 03:00:00,0,NA,NA,NA,0.6333,0,1,0
2014-01-04 04:00:00,0,NA,NA,NA,0.6247,0,1,0
2014-01-04 05:00:00,0,NA,NA,NA,0.604,0,1,0
2014-01-04 06:00:00,0,NA,NA,NA,0.604,0,1,0
